case_name,state_label,hamiltonian_file,output_file,schedule_file,shots,exact_noisy,deviation_noisy,num_groups
rand_H_3_W,W,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/ShadowGroupingrand_H_3_572.txt,572,0.021099485681452795,0.01682222268664353,20
rand_H_3_W,W,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/ShadowGroupingrand_H_3_2038.txt,2038,0.021099485681452795,0.012589189807455643,20
rand_H_3_W,W,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/ShadowGroupingrand_H_3_7259.txt,7259,0.021099485681452795,0.004827455998816041,20
rand_H_3_W,W,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_W/ShadowGroupingrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/ShadowGroupingrand_H_3_25848.txt,25848,0.021099485681452795,0.003579379104981948,20
rand_H_3_W,W,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/Derandomizationrand_H_3_12.txt,12,0.021099485681452795,0.047982170381174215,20
rand_H_3_W,W,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/Derandomizationrand_H_3_45.txt,45,0.021099485681452795,0.04756327531172615,20
rand_H_3_W,W,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/Derandomizationrand_H_3_160.txt,160,0.021099485681452795,0.02218697411216589,20
rand_H_3_W,W,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/Derandomizationrand_H_3_572.txt,572,0.021099485681452795,0.012712088209976095,20
rand_H_3_W,W,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/Derandomizationrand_H_3_2038.txt,2038,0.021099485681452795,0.0062132484926632385,20
rand_H_3_W,W,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/preprocessing/rand_H/rand_H_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18_2/postprocessing/test_outputs/experimental_outputs_actual/data_rhoH/haozhaowu_outputs_W/Derandomizationrand_H_counts_3.txt,/Users/bujiaowu/Documents/program/symmetry_state_photons/new_datas_afterJun18/meas/Derandomizationrand_H_3_7259.txt,7259,0.021099485681452795,0.002129338254564578,20
