case_name,state,method,shots,variance_T_shots,variance_single_shot,std_T_shots,variance_source,source_file
rand_H_3_W,W,AP,12,0.002605303601866936,0.03126364322240323,0.05104217473684811,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,AP,45,0.001443519311012505,0.06495836899556272,0.03799367461844807,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,AP,160,0.0006095211670184988,0.0975233867229598,0.0246884824770276,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,AP,572,0.00015164199816592892,0.08673922295091134,0.01231430055528648,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,AP,2038,4.2769138934251524e-05,0.08716350514800461,0.006539811842419591,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,AP,7259,1.1542219201465782e-05,0.08378496918344011,0.00339738417042668,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,AP,25848,3.240061196615008e-06,0.08374910181010473,0.0018000169989794564,empirical_schedule,variance_noisy_summary.csv
rand_H_3_W,W,Compact,12,0.001903103246771987,0.022837238961263842,0.043624571594137025,cutset_probability,variance_compact_summary.csv
rand_H_3_W,W,Compact,45,0.0005074941991391965,0.022837238961263842,0.022527631902603446,cutset_probability,variance_compact_summary.csv
rand_H_3_W,W,Compact,160,0.000142732743507899,0.022837238961263842,0.011947080961803976,cutset_probability,variance_compact_summary.csv
rand_H_3_W,W,Compact,572,3.9925242939272453e-05,0.022837238961263842,0.006318642491807276,cutset_probability,variance_compact_summary.csv
rand_H_3_W,W,Compact,2038,1.1205710972160865e-05,0.022837238961263842,0.003347493237059765,cutset_probability,variance_compact_summary.csv
rand_H_3_W,W,Compact,7259,3.1460585426730736e-06,0.022837238961263842,0.0017737132075600816,cutset_probability,variance_compact_summary.csv
rand_H_3_W,W,Compact,25848,8.835205416768742e-07,0.022837238961263842,0.0009399577339842862,cutset_probability,variance_compact_summary.csv
